Carbon,Manganese,Grain Size,Cooling Rate,Volume fractions_ALLDI,Volume fractions_WIDMAN,Volume fractions_PEARL
0.18,0.7,30,11,0.6921,0.0195,0.2883
0.24,0.7,55,11,0.4612,0.1621,0.3761
0.3,0.7,100,11,0.2429,0.2705,0.4866
0.24,0.7,30,55,0.3453,0.2352,0.4195
0.3,0.7,55,55,0.2439,0.2442,0.5113
0.18,0.7,100,55,0.2094,0.4899,0.2991
0.3,0.7,30,100,0.3163,0.1155,0.5681
0.18,0.7,55,100,0.2955,0.3944,0.3101
0.24,0.7,100,100,0.1458,0.4292,0.4243
0.24,1.1,30,11,0.5684,0.019,0.4126
0.3,1.1,55,11,0.3384,0.1439,0.5176
0.18,1.1,100,11,0.3132,0.3937,0.2915
0.3,1.1,30,55,0.3316,0.0888,0.5976
0.18,1.1,55,55,0.3179,0.3714,0.3107
0.24,1.1,100,55,0.1016,0.4618,0.4366
0.18,1.1,30,100,0.4185,0.2573,0.3242
0.24,1.1,55,100,0.2197,0.3122,0.4667
0.3,1.1,100,100,0.1042,0.2828,0.613
0.3,1.5,30,11,0.4575,0,0.5425
0.3,1.5,55,11,0.3085,0.14,0.5515
0.24,1.5,100,11,0.2367,0.3321,0.4312
0.18,1.5,30,55,0.3148,0.3523,0.3329
0.24,1.5,55,55,0.2129,0.3236,0.4618
0.3,1.5,100,55,0.1106,0.2527,0.6367
0.24,1.5,30,100,0.3197,0.185,0.4953
0.3,1.5,55,100,0.1586,0.162,0.6794
0.18,1.5,100,100,0.1434,0.4933,0.3102
